"idx","data","godzina","flow"
"447","02/08/2014","17",192.5
"448","02/08/2014","18",174
"449","02/08/2014","19",156.5
"450","02/08/2014","20",114.75
"451","02/08/2014","21",104.25
"452","02/08/2014","22",96.75
"453","02/08/2014","23",63.75
"454","02/09/2014","00",118.75
"455","02/09/2014","01",69.25
"456","02/09/2014","02",68.5
"457","02/09/2014","03",46.5
"458","02/09/2014","04",67.25
"459","02/09/2014","05",103.75
"460","02/09/2014","06",166.25
"461","02/09/2014","07",370.5
"462","02/09/2014","08",402.75
"463","02/09/2014","09",275.25
"464","02/09/2014","10",249
"465","02/09/2014","11",256.25
"466","02/09/2014","12",224.5
"467","02/09/2014","13",234.75
"468","02/09/2014","14",214.5
"469","02/09/2014","15",236.75
"470","02/09/2014","16",290.5
"471","02/09/2014","17",281.25
"472","02/09/2014","18",205.5
"473","02/09/2014","19",153.25
"474","02/09/2014","20",119
"475","02/09/2014","21",180.25
"476","02/09/2014","22",63.5
"477","02/09/2014","23",91.5
"478","02/10/2014","00",14.625
"479","02/10/2014","01",11.5
"480","02/10/2014","02",13.125
"481","02/10/2014","03",16.1575
"482","02/10/2014","04",26.5
"483","02/10/2014","05",70.125
"484","02/10/2014","06",146.625
"485","02/10/2014","07",382.875
"486","02/10/2014","08",406.125
"487","02/10/2014","09",280.75
"488","02/10/2014","10",234
"489","02/10/2014","11",212.25
"490","02/10/2014","12",201.875
"491","02/10/2014","13",200.375
"492","02/10/2014","14",204.25
"493","02/10/2014","15",215.625
"494","02/10/2014","16",254.625
"495","02/10/2014","17",257.875
"496","02/10/2014","18",184
"497","02/10/2014","19",117.625
"498","02/10/2014","20",71.875
"499","02/10/2014","21",53.875
"500","02/10/2014","22",40.375
"501","02/10/2014","23",25.625
"502","02/11/2014","00",27.875
"503","02/11/2014","01",17.625
"504","02/11/2014","02",14.3125
"505","02/11/2014","03",11.125
"506","02/11/2014","04",11.75
"507","02/11/2014","05",22.25
"508","02/11/2014","06",36.625
"509","02/11/2014","07",68.75
"510","02/11/2014","08",86.75
"511","02/11/2014","09",164.5
"512","02/11/2014","10",215
"513","02/11/2014","11",211
"514","02/11/2014","12",226.625
"515","02/11/2014","13",189.375
"516","02/11/2014","14",173.375
"517","02/11/2014","15",175.375
"518","02/11/2014","16",169.25
"519","02/11/2014","17",151.5
"520","02/11/2014","18",119.5
"521","02/11/2014","19",88.25
"522","02/11/2014","20",62.875
"523","02/11/2014","21",47.375
"524","02/11/2014","22",27.75
"525","02/11/2014","23",19.875
"526","02/12/2014","00",13.5
"527","02/12/2014","01",10
"528","02/12/2014","02",11.25
"529","02/12/2014","03",15.5625
"530","02/12/2014","04",26.375
"531","02/12/2014","05",63
"532","02/12/2014","06",146.625
"533","02/12/2014","07",372.5
"534","02/12/2014","08",422.375
"535","02/12/2014","09",293.5
"536","02/12/2014","10",238.75
"537","02/12/2014","11",205.125
"538","02/12/2014","12",201.5
"539","02/12/2014","13",193
"540","02/12/2014","14",200.75
"541","02/12/2014","15",211.5
"542","02/12/2014","16",256.875
"543","02/12/2014","17",253.625
"544","02/12/2014","18",170.375
"545","02/12/2014","19",106.375
"546","02/12/2014","20",65.125
"547","02/12/2014","21",49.875
"548","02/12/2014","22",42
"549","02/12/2014","23",24
"550","03/01/2014","00",17.125
"551","03/01/2014","01",16.125
"552","03/01/2014","02",10.9375
"553","03/01/2014","03",11.9166666666667
"554","03/01/2014","04",23.875
"555","03/01/2014","05",66
"556","03/01/2014","06",135.125
"557","03/01/2014","07",280
"558","03/01/2014","08",321.875
"559","03/01/2014","09",268.375
"560","03/01/2014","10",251.375
"561","03/01/2014","11",248.5
"562","03/01/2014","12",232.875
"563","03/01/2014","13",227
"564","03/01/2014","14",221.25
"565","03/01/2014","15",218.25
"566","03/01/2014","16",221.875
"567","03/01/2014","17",230.375
"568","03/01/2014","18",166.375
"569","03/01/2014","19",129.625
"570","03/01/2014","20",79.125
"571","03/01/2014","21",58.875
"572","03/01/2014","22",46.25
"573","03/01/2014","23",32.625
"574","03/02/2014","00",16
"575","03/02/2014","01",8.375
"576","03/02/2014","02",12.25
"577","03/02/2014","03",16.5
"578","03/02/2014","04",38.5
"579","03/02/2014","05",87.75
"580","03/02/2014","06",153.75
"581","03/02/2014","07",378.75
"582","03/02/2014","08",427.5
"583","03/02/2014","09",255.5
"584","03/02/2014","10",197.75
"585","03/02/2014","11",142.25
"586","03/02/2014","12",229.75
"587","03/02/2014","13",187.25
"588","03/02/2014","14",178.25
"589","03/02/2014","15",198.75
"590","03/02/2014","16",226.5
"591","03/02/2014","17",246
"592","03/02/2014","18",157
"593","03/02/2014","19",102.75
"594","03/02/2014","20",56
"595","03/02/2014","21",46.25
"596","03/02/2014","22",38.5
"597","03/02/2014","23",19.5
"598","03/03/2014","00",14.375
"599","03/03/2014","01",8.1875
"600","03/03/2014","02",11.625
"601","03/03/2014","03",16.8125
"602","03/03/2014","04",44.25
"603","03/03/2014","05",83
"604","03/03/2014","06",161.75
"605","03/03/2014","07",371.5
"606","03/03/2014","08",418.5
"607","03/03/2014","09",272.75
"608","03/03/2014","10",228.75
"609","03/03/2014","11",196.75
"610","03/03/2014","12",204.5
"611","03/03/2014","13",191
"612","03/03/2014","14",189.25
"613","03/03/2014","15",200.5
"614","03/03/2014","16",227.25
"615","03/03/2014","17",239
"616","03/03/2014","18",159.75
"617","03/03/2014","19",107.25
"618","03/03/2014","20",68.25
"619","03/03/2014","21",52
"620","03/03/2014","22",30
"621","03/03/2014","23",19
"622","03/04/2014","00",19
"623","03/04/2014","01",13.25
"624","03/04/2014","02",6.25
"625","03/04/2014","03",13.5
"626","03/04/2014","04",28.875
"627","03/04/2014","05",62.5
"628","03/04/2014","06",165.75
"629","03/04/2014","07",350.25
"630","03/04/2014","08",406
"631","03/04/2014","09",288
"632","03/04/2014","10",226.75
"633","03/04/2014","11",187.25
"634","03/04/2014","12",206.75
"635","03/04/2014","13",207.25
"636","03/04/2014","14",195.25
"637","03/04/2014","15",222
"638","03/04/2014","16",261.5
"639","03/04/2014","17",264.75
"640","03/04/2014","18",186.75
"641","03/04/2014","19",114.5
"642","03/04/2014","20",83.5
"643","03/04/2014","21",62
"644","03/04/2014","22",50
"645","03/04/2014","23",30
"646","03/05/2014","00",21.5
"647","03/05/2014","01",14
"648","03/05/2014","02",17.25
"649","03/05/2014","03",8.5
"650","03/05/2014","04",15.75
"651","03/05/2014","05",42
"652","03/05/2014","06",65.5
"653","03/05/2014","07",140.5
"654","03/05/2014","08",212.75
"655","03/05/2014","09",237.5
"656","03/05/2014","10",259
"657","03/05/2014","11",275.5
"658","03/05/2014","12",233.25
"659","03/05/2014","13",231
"660","03/05/2014","14",195.25
"661","03/05/2014","15",176.25
"662","03/05/2014","16",176.5
"663","03/05/2014","17",175.75
"664","03/05/2014","18",158.75
"665","03/05/2014","19",109.5
"666","03/05/2014","20",75
"667","03/05/2014","21",69.75
"668","03/05/2014","22",44.75
"669","03/05/2014","23",47.75
"670","03/06/2014","00",17.25
"671","03/06/2014","01",8.875
"672","03/06/2014","02",12.3125
"673","03/06/2014","03",17.5
"674","03/06/2014","04",31
"675","03/06/2014","05",73
"676","03/06/2014","06",162.75
"677","03/06/2014","07",374.75
"678","03/06/2014","08",414.75
"679","03/06/2014","09",269.5
"680","03/06/2014","10",230
"681","03/06/2014","11",203.25
"682","03/06/2014","12",210.75
"683","03/06/2014","13",220
"684","03/06/2014","14",209.5
"685","03/06/2014","15",218
"686","03/06/2014","16",268
"687","03/06/2014","17",261.75
"688","03/06/2014","18",182.75
"689","03/06/2014","19",129
"690","03/06/2014","20",68.75
"691","03/06/2014","21",46
